Source,Target,Type
Adrien Brody,Emilia Fox,Undirected
Russell Crowe,Oliver Reed,Undirected
Edward Norton,Jennifer Lien,Undirected
Kevin Spacey,Stephen Baldwin,Undirected
Jean Reno,Danny Aiello,Undirected
Rob Minkoff,James Earl Jones,Undirected
Arnold Schwarzenegger,Robert Patrick,Undirected
Philippe Noiret,Isa Danieli,Undirected
Tsutomu Tatsumi,Yoshiko Shinohara,Undirected
Michael J. Fox,Crispin Glover,Undirected
Henry Fonda,Jason Robards,Undirected
Anthony Perkins,John Gavin,Undirected
Humphrey Bogart,Claude Rains,Undirected
Charles Chaplin,Tiny Sandford,Undirected
Charles Chaplin,Harry Myers,Undirected
Zain Al Rafeea,Kawsar Al Haddad,Undirected
Erdem Can,Kyung-jin Lee,Undirected
Pushkar,Shraddha Srinath,Undirected
Ryûnosuke Kamiki,Aoi Yûki,Undirected
Aamir Khan,Sanya Malhotra,Undirected
Peter Ramsey,Jake Johnson,Undirected
Joe Russo,Mark Ruffalo,Undirected
Joe Russo,Mark Ruffalo,Undirected
Adrian Molina,Benjamin Bratt,Undirected
Jamie Foxx,Kerry Washington,Undirected
Christian Bale,Gary Oldman,Undirected
Aamir Khan,Sharman Joshi,Undirected
Amole Gupte,Tisca Chopra,Undirected
Ben Burtt,Fred Willard,Undirected
Ulrich Mühe,Ulrich Tukur,Undirected
Choi Min-sik,Kim Byeong-Ok,Undirected
Guy Pearce,Mark Boone Junior,Undirected
Yôji Matsuda,Billy Crudup,Undirected
Robert De Niro,Treat Williams,Undirected
Harrison Ford,John Rhys-Davies,Undirected
Jack Nicholson,Scatman Crothers,Undirected
Martin Sheen,Frederic Forrest,Undirected
Sigourney Weaver,Veronica Cartwright,Undirected
Rajesh Khanna,Ramesh Deo,Undirected
Toshirô Mifune,Kyôko Kagawa,Undirected
Peter Sellers,Keenan Wynn,Undirected
Tyrone Power,Elsa Lanchester,Undirected
Kirk Douglas,George Macready,Undirected
James Stewart,Thelma Ritter,Undirected
William Holden,Nancy Olson,Undirected
Charles Chaplin,Reginald Gardiner,Undirected
Dean-Charles Chapman,Colin Firth,Undirected
Anand Gandhi,Jyoti Malshe,Undirected
Ayushmann Khurrana,Anil Dhawan,Undirected
Mohanlal,Ansiba,Undirected
Mads Mikkelsen,Lasse Fogelstrøm,Undirected
Payman Maadi,Shahab Hosseini,Undirected
Lubna Azabal,Mustafa Kamel,Undirected
Aras Bulut Iynemli,Celile Toyon Uysal,Undirected
Çetin Tekindor,Ege Tanman,Undirected
Brad Pitt,Mélanie Laurent,Undirected
Jim Carrey,Gerry Robert Byrne,Undirected
Audrey Tautou,Lorella Cravotta,Undirected
Jason Statham,Dennis Farina,Undirected
Ellen Burstyn,Marlon Wayans,Undirected
Kevin Spacey,Wes Bentley,Undirected
Robin Williams,Stellan Skarsgård,Undirected
Mohammad Amir Naji,Nafise Jafar-Mohammadi,Undirected
Tom Hanks,Jim Varney,Undirected
Mel Gibson,Angus Macfadyen,Undirected
Harvey Keitel,Chris Penn,Undirected
Matthew Modine,Adam Baldwin,Undirected
Aleksey Kravchenko,Vladas Bagdonas,Undirected
Sigourney Weaver,Paul Reiser,Undirected
F. Murray Abraham,Roy Dotrice,Undirected
Al Pacino,Mary Elizabeth Mastrantonio,Undirected
Mark Hamill,Billy Dee Williams,Undirected
Jürgen Prochnow,Hubertus Bengsch,Undirected
Robert De Niro,Albert Brooks,Undirected
Paul Newman,Charles Durning,Undirected
Malcolm McDowell,Warren Clarke,Undirected
Keir Dullea,Daniel Richter,Undirected
Clint Eastwood,Mara Krupp,Undirected
Peter O'Toole,Jack Hawkins,Undirected
Jack Lemmon,Ray Walston,Undirected
Cary Grant,Jessie Royce Landis,Undirected
James Stewart,Tom Helmore,Undirected
Gene Kelly,Debbie Reynolds,Undirected
Takashi Shimura,Haruo Tanaka,Undirected
Lamberto Maggiorani,Elena Altieri,Undirected
Fred MacMurray,Byron Barr,Undirected
Orson Welles,Agnes Moorehead,Undirected
Peter Lorre,Otto Wernicke,Undirected
Brigitte Helm,Rudolf Klein-Rogge,Undirected
Charles Chaplin,Carl Miller,Undirected
Sushant Singh Rajput,Prateik,Undirected
Vicky Kaushal,Yami Gautam,Undirected
Yash,Archana Jois,Undirected
Viggo Mortensen,Sebastian Maniscalco,Undirected
Frances McDormand,Caleb Landry Jones,Undirected
Irrfan Khan,Sohum Shah,Undirected
Prabhas,Tamannaah Bhatia,Undirected
Carlos Martínez López,Rashida Jones,Undirected
Ajay Devgn,Rajat Kapoor,Undirected
Kangana Ranaut,Jeffrey Ho,Undirected
Lembit Ulfsak,Misha Meskhi,Undirected
Farhan Akhtar,Art Malik,Undirected
Manoj Bajpayee,Tigmanshu Dhulia,Undirected
Rajat Barmecha,Ram Kapoor,Undirected
Irrfan Khan,Hemendra Dandotiya,Undirected
Ricardo Darín,Carla Quevedo,Undirected
Tom Hardy,Jennifer Morrison,Undirected
Leonardo DiCaprio,Ben Kingsley,Undirected
Bob Peterson,John Ratzenberger,Undirected
Leonardo DiCaprio,Matthew McConaughey,Undirected
Shah Rukh Khan,Shilpa Shukla,Undirected
Daniel Day-Lewis,Martin Stringer,Undirected
Ivana Baquero,Maribel Verdú,Undirected
Tom Hanks,Ned Beatty,Undirected
Hugo Weaving,Stephen Rea,Undirected
Aamir Khan,Sharman Joshi,Undirected
Amitabh Bachchan,Ayesha Kapoor,Undirected
Christian Bale,Liam Neeson,Undirected
Shah Rukh Khan,Smit Sheth,Undirected
Bruno Ganz,Juliane Köhler,Undirected
Chieko Baishô,Akihiro Miwa,Undirected
Russell Crowe,Christopher Plummer,Undirected
Akshay Kumar,Tabu,Undirected
Jason Flemyng,Jason Statham,Undirected
Kevin Spacey,Kim Basinger,Undirected
Sener Sen,Yesim Salkim,Undirected
Al Pacino,Jon Voight,Undirected
Robert De Niro,James Woods,Undirected
Aamir Khan,Karisma Kapoor,Undirected
Clint Eastwood,Richard Harris,Undirected
Harrison Ford,Denholm Elliott,Undirected
Davor Dujmovic,Husnija Hasimovic,Undirected
Hitoshi Takagi,Shigesato Itoi,Undirected
Bruce Willis,Reginald VelJohnson,Undirected
Tatsuya Nakadai,Daisuke Ryû,Undirected
Robert De Niro,Frank Vincent,Undirected
Alisa Freyndlikh,Nikolay Grinko,Undirected
Ingrid Bergman,Halvar Björk,Undirected
Anthony Quinn,Johnny Sekka,Undirected
Sanjeev Kumar,Amjad Khan,Undirected
Terry Jones,Eric Idle,Undirected
Steve McQueen,Charles Bronson,Undirected
Gregory Peck,Rosemary Murphy,Undirected
Toshirô Mifune,Yôko Tsukasa,Undirected
Spencer Tracy,Marlene Dietrich,Undirected
Marilyn Monroe,George Raft,Undirected
Victor Sjöström,Gunnar Björnstrand,Undirected
Max von Sydow,Nils Poppe,Undirected
Jean Servais,Janine Darcey,Undirected
Ray Milland,John Williams,Undirected
Chishû Ryû,Setsuko Hara,Undirected
Toshirô Mifune,Takashi Shimura,Undirected
Bette Davis,Celeste Holm,Undirected
Humphrey Bogart,Bruce Bennett,Undirected
Carole Lombard,Felix Bressart,Undirected
Charles Chaplin,Henry Bergman,Undirected
Buster Keaton,Erwin Connelly,Undirected
Noémie Merlant,Valeria Golino,Undirected
Taapsee Pannu,Andrea Tariang,Undirected
Miyu Irino,Kenshô Ono,Undirected
Mario Casas,Bárbara Lennie,Undirected
Kim Min-hee,Moon So-Ri,Undirected
Anne Dorval,Patrick Huard,Undirected
Shahid Kapoor,Kay Kay Menon,Undirected
Hugh Jackman,Boyd Holbrook,Undirected
Brie Larson,Wendy Crewson,Undirected
Darío Grandinetti,Diego Starosta,Undirected
Kemp Powers,Graham Norton,Undirected
Haluk Bilginer,Ayberk Pekcan,Undirected
Aamir Khan,Boman Irani,Undirected
Paresh Rawal,Mahesh Manjrekar,Undirected
Ralph Fiennes,Adrien Brody,Undirected
Ben Affleck,Tyler Perry,Undirected
Aoi Miyazaki,Yukito Nishii,Undirected
Andrew Garfield,Teresa Palmer,Undirected
Ronnie Del Carmen,Lewis Black,Undirected
Ranbir Kapoor,Saurabh Shukla,Undirected
Chiwetel Ejiofor,Brad Pitt,Undirected
Daniel Brühl,Alexandra Maria Lara,Undirected
Matt Damon,Caitriona Balfe,Undirected
Mark Ruffalo,Liev Schreiber,Undirected
David Rawle,Fionnula Flanagan,Undirected
Vidya Balan,Nawazuddin Siddiqui,Undirected
Hrithik Roshan,Katrina Kaif,Undirected
Hugh Jackman,Melissa Leo,Undirected
Tom Hardy,Zoë Kravitz,Undirected
Anupam Kher,Aamir Bashir,Undirected
Clint Eastwood,Ahney Her,Undirected
Daniel Radcliffe,Michael Gambon,Undirected
Masahiro Motoki,Kazuko Yoshiyuki,Undirected
Richard Gere,Sarah Roemer,Undirected
Toni Collette,Barry Humphries,Undirected
Chris Sanders,Christopher Mintz-Plasse,Undirected
Emile Hirsch,Marcia Gay Harden,Undirected
Joel Coen,Josh Brolin,Undirected
Sanjay Dutt,Boman Irani,Undirected
Hilary Swank,Jay Baruchel,Undirected
Don Cheadle,Xolani Mali,Undirected
Jang Dong-Gun,Hyeong-jin Kong,Undirected
Ethan Hawke,Louise Lemoine Torrès,Undirected
Sanjay Dutt,Sunil Dutt,Undirected
Kang-ho Song,Jae-ho Song,Undirected
Aamir Khan,Preity Zinta,Undirected
Uma Thurman,Michael Madsen,Undirected
Lee Unkrich,Alexander Gould,Undirected
Leonardo DiCaprio,Martin Sheen,Undirected
Emilio Echevarría,Álvaro Guerrero,Undirected
David Silverman,John Goodman,Undirected
Kazuya Tsurumaki,Yûko Miyamura,Undirected
Aamir Khan,Rachel Shelley,Undirected
Bruce Willis,Olivia Williams,Undirected
Tim Roth,Bill Nunn,Undirected
Jim Carrey,Noah Emmerich,Undirected
Bajram Severdzan,Florijan Ajdini,Undirected
Ethan Coen,Julianne Moore,Undirected
Tony Chiu-Wai Leung,Tung Cho 'Joe' Cheung,Undirected
Ewan McGregor,Kevin McKidd,Undirected
Ethan Coen,Steve Buscemi,Undirected
Predrag 'Miki' Manojlovic,Slavko Stimac,Undirected
Vincent Cassel,Abdel Ahmed Ghili,Undirected
Shah Rukh Khan,Farida Jalal,Undirected
Ethan Hawke,Hanno Pöschl,Undirected
Irène Jacob,Jean-Pierre Lorit,Undirected
Brigitte Lin,Faye Wong,Undirected
Sam Neill,Richard Attenborough,Undirected
Daniel Day-Lewis,Philip King,Undirected
Leslie Cheung,You Ge,Undirected
Gong Li,Cuifen Cao,Undirected
Robin Williams,Josh Charles,Undirected
Wil Wheaton,Jerry O'Connell,Undirected
Charlie Sheen,Keith David,Undirected
Harry Dean Stanton,Aurore Clément,Undirected
Sumi Shimamoto,Gorô Naya,Undirected
Kurt Russell,Richard Masur,Undirected
Bob Geldof,Eleanor David,Undirected
Klaus Kinski,Miguel Ángel Fuentes,Undirected
Bertil Guve,Börje Ahlstedt,Undirected
Harrison Ford,Edward James Olmos,Undirected
Anthony Hopkins,John Gielgud,Undirected
Graham Chapman,Terry Gilliam,Undirected
Robert De Niro,John Savage,Undirected
Sylvester Stallone,Carl Weathers,Undirected
Faye Dunaway,Robert Duvall,Undirected
Ryan O'Neal,Hardy Krüger,Undirected
Margarita Terekhova,Oleg Yankovskiy,Undirected
Jack Nicholson,Perry Lopez,Undirected
Ryan O'Neal,John Hillerman,Undirected
Harriet Andersson,Ingrid Thulin,Undirected
Natalya Bondarchuk,Vladislav Dvorzhetskiy,Undirected
Alain Delon,Cathy Rosier,Undirected
Paul Newman,J.D. Cannon,Undirected
Bibi Andersson,Gunnar Björnstrand,Undirected
Anatoliy Solonitsyn,Nikolay Sergeev,Undirected
Brahim Hadjadj,Samia Kerbash,Undirected
Silvia Pinal,José Baviera,Undirected
Bette Davis,Wesley Addy,Undirected
Toshirô Mifune,Yûnosuke Itô,Undirected
James Stewart,Lee Marvin,Undirected
Eduard Abalov,Evgeniy Zharikov,Undirected
Max von Sydow,Birgitta Pettersson,Undirected
Spencer Tracy,Dick York,Undirected
Jean-Pierre Léaud,Guy Decomble,Undirected
Charlton Heston,Haya Harareet,Undirected
Toshirô Mifune,Kamatari Fujiwara,Undirected
Giulietta Masina,Dorian Gray,Undirected
Toshirô Mifune,Takashi Shimura,Undirected
William Holden,Sessue Hayakawa,Undirected
Marlon Brando,Rod Steiger,Undirected
Yves Montand,Folco Lulli,Undirected
Kirk Douglas,Porter Hall,Undirected
James Cagney,Margaret Wycherly,Undirected
Orson Welles,Trevor Howard,Undirected
Emeric Pressburger,Moira Shearer,Undirected
Margaret Sullavan,Joseph Schildkraut,Undirected
Laurence Olivier,Judith Anderson,Undirected
James Stewart,Edward Arnold,Undirected
George Cukor,Vivien Leigh,Undirected
Jean Gabin,Erich von Stroheim,Undirected
Clark Gable,Roscoe Karns,Undirected
Maria Falconetti,Maurice Schutz,Undirected
Charles Chaplin,Harry Crocker,Undirected
George O'Brien,Bodil Rosing,Undirected
Buster Keaton,Glen Cavender,Undirected
Werner Krauss,Lil Dagover,Undirected
Ayushmann Khurrana,Sanya Malhotra,Undirected
Willem Dafoe,Richard Dormer,Undirected
Akshay Kumar,Prakash Belawadi,Undirected
Salman Khan,Kareena Kapoor,Undirected
Akshay Kumar,Taapsee Pannu,Undirected
Ryan Gosling,J.K. Simmons,Undirected
Dev Patel,Sunny Pawar,Undirected
Matt Damon,Kate Mara,Undirected
Rich Moore,Jason Bateman,Undirected
Prabhas,Sathyaraj,Undirected
Chloë Grace Moretz,James Marsden,Undirected
Jacob Tremblay,Julia Roberts,Undirected
Vijay Varma,Vijay Raaz,Undirected
Akshay Kumar,Jimmy Sheirgill,Undirected
Brie Larson,Kaitlyn Dever,Undirected
Iko Uwais,Oka Antara,Undirected
Benedict Cumberbatch,Allen Leech,Undirected
Chris Pratt,Zoe Saldana,Undirected
Harrison Ford,Dave Bautista,Undirected
Joaquin Phoenix,Rooney Mara,Undirected
Rami Malek,Ben Hardy,Undirected
Leonardo DiCaprio,Domhnall Gleeson,Undirected
Logan Lerman,Paul Rudd,Undirected
Wagner Moura,Milhem Cortaz,Undirected
Colin Firth,Derek Jacobi,Undirected
Emma Stone,Bryce Dallas Howard,Undirected
Ryan Reynolds,Ed Skrein,Undirected
Golshifteh Farahani,Merila Zare'i,Undirected
Abhay Deol,Dibyendu Bhattacharya,Undirected
Donnie Yen,Ka Tung Lam,Undirected
Shah Rukh Khan,Katie A. Keane,Undirected
Erdem Can,Baris Bagci,Undirected
Loveleen Tandan,Saurabh Shukla,Undirected
Natalie Portman,Winona Ryder,Undirected
Wagner Moura,Milhem Cortaz,Undirected
Robert Downey Jr.,Jeremy Renner,Undirected
Marjane Satrapi,Gena Rowlands,Undirected
Matthew McConaughey,Steve Zahn,Undirected
Will Smith,Brian Howe,Undirected
Leonardo DiCaprio,Kagiso Kuypers,Undirected
Matt Damon,Julia Stiles,Undirected
Seung-Yun Lee,Jin-mo Joo,Undirected
Quentin Tarantino,Clive Owen,Undirected
Laura Obiols,Marie-Josée Croze,Undirected
Cem Yilmaz,Safak Sezer,Undirected
Jan Pinkava,Patton Oswalt,Undirected
Daniel Craig,Jeffrey Wright,Undirected
Uma Thurman,Daryl Hannah,Undirected
Vladimir Garin,Nataliya Vdovina,Undirected
Ki-duk Kim,Kim Young-Min,Undirected
Javier Bardem,Mabel Rivera,Undirected
Russell Crowe,Paul Giamatti,Undirected
Preity Zinta,Jaya Bachchan,Undirected
Alan Mak,Anthony Chau-Sang Wong,Undirected
Johnny Depp,Keira Knightley,Undirected
Ewan McGregor,Jessica Lange,Undirected
Craig T. Nelson,Jason Lee,Undirected
Tae-Hyun Cha,Song Wok-suk,Undirected
Nicole Kidman,Harriet Andersson,Undirected
Ömer Faruk Sorak,Altan Erkekli,Undirected
Jake Gyllenhaal,Holmes Osborne,Undirected
Tom Cruise,Philip Seymour Hoffman,Undirected
Björk,Peter Stormare,Undirected
Richard Farnsworth,Joseph A. Carpenter,Undirected
Junko Iwao,Masaaki Ôkura,Undirected
Ulrich Thomsen,Paprika Steen,Undirected
Fernanda Montenegro,Soia Lira,Undirected
Eli Marienthal,Vin Diesel,Undirected
Til Schweiger,Moritz Bleibtreu,Undirected
Billy Bob Thornton,John Ritter,Undirected
Timothy Spall,Claire Rushbrook,Undirected
Bruce Willis,Joseph Melito,Undirected
Atsuko Tanaka,Kôichi Yamadera,Undirected
Danny Elfman,William Hickey,Undirected
Bill Murray,Stephen Tobolowsky,Undirected
Damian Chapa,Enrique Castillo,Undirected
Al Pacino,Gabrielle Anwar,Undirected
John Musker,Linda Larkin,Undirected
Kevin Costner,Walter Matthau,Undirected
Kirk Wise,Jesse Corti,Undirected
Kevin Costner,Rodney A. Grant,Undirected
Danny Aiello,Richard Edson,Undirected
Dustin Hoffman,Gerald R. Molen,Undirected
Mitsuo Iwata,Tesshô Genda,Undirected
Cary Elwes,Chris Sarandon,Undirected
Bruno Ganz,Curt Bois,Undirected
Gaspard Manesse,Stanislas Carré de Malberg,Undirected
Mayumi Tanaka,Minori Terada,Undirected
Arnold Schwarzenegger,Paul Winfield,Undirected
Ben Kingsley,Roshan Seth,Undirected
Tatsuya Nakadai,Jinpachi Nezu,Undirected
Peter Sellers,Jack Warden,Undirected
Woody Allen,Carol Kane,Undirected
Roy Scheider,Lorraine Gary,Undirected
Al Pacino,Sully Boyar,Undirected
Gene Wilder,Peter Boyle,Undirected
Steve McQueen,Don Gordon,Undirected
Ellen Burstyn,Lee J. Cobb,Undirected
Laurence Olivier,John Matthews,Undirected
Timothy Bottoms,Ben Johnson,Undirected
Topol,Molly Picon,Undirected
Jean-Louis Trintignant,Enzo Tarascio,Undirected
Paul Newman,Strother Martin,Undirected
Mia Farrow,Sidney Blackmer,Undirected
Charlton Heston,Maurice Evans,Undirected
Dustin Hoffman,William Daniels,Undirected
Elizabeth Taylor,Sandy Dennis,Undirected
Julie Andrews,Richard Haydn,Undirected
Omar Sharif,Rod Steiger,Undirected
Clint Eastwood,Wolfgang Lukschy,Undirected
Marcello Mastroianni,Sandra Milo,Undirected
Anna Karina,Guylaine Schlumberger,Undirected
Paul Newman,George C. Scott,Undirected
Marcello Mastroianni,Yvonne Furneaux,Undirected
John Wayne,Angie Dickinson,Undirected
James Stewart,Arthur O'Connell,Undirected
Charlton Heston,Joseph Calleia,Undirected
Elizabeth Taylor,Jack Carson,Undirected
Burt Lancaster,Martin Milner,Undirected
Sterling Hayden,Jay C. Flippen,Undirected
Robert Mitchum,James Gleason,Undirected
Anthony Quinn,Aldo Silvani,Undirected
Simone Signoret,Charles Vanel,Undirected
William Holden,Robert Strauss,Undirected
Gregory Peck,Hartley Power,Undirected
Vivien Leigh,Karl Malden,Undirected
Humphrey Bogart,Carl Benton Reid,Undirected
Dennis Price,Joan Greenwood,Undirected
James Stewart,Dick Hogan,Undirected
Robert Mitchum,Rhonda Fleming,Undirected
Celia Johnson,Joyce Carey,Undirected
Gene Tierney,Vincent Price,Undirected
Myrna Loy,Teresa Wright,Undirected
Cary Grant,Jack Carson,Undirected
Humphrey Bogart,Peter Lorre,Undirected
Henry Fonda,Charley Grapewin,Undirected
George Cukor,Richard Thorpe,Undirected
Marcel Dalio,Mila Parély,Undirected
William Powell,Nat Pendleton,Undirected
Lew Ayres,Arnold Lucy,Undirected
Aleksandr Antonov,Ivan Bobrov,Undirected
Daniel Craig,Jamie Lee Curtis,Undirected
Sushant Singh Rajput,Saswata Chatterjee,Undirected
Lily Franky,Mayu Matsuoka,Undirected
Adam Driver,Azhy Robertson,Undirected
Armie Hammer,Amira Casar,Undirected
Laura Obiols,Sharon Percy,Undirected
Bryan Cranston,Bob Balaban,Undirected
Sam Neill,Rachel House,Undirected
Viggo Mortensen,Annalise Basso,Undirected
Ferdia Walsh-Peelo,Jack Reynor,Undirected
Chris Hemsworth,Mark Ruffalo,Undirected
Jake Gyllenhaal,Riz Ahmed,Undirected
Roman Griffin Davis,Taika Waititi,Undirected
Amy Adams,Michael Stuhlbarg,Undirected
Daisy Ridley,Domhnall Gleeson,Undirected
Ethan Hawke,Ariane Labed,Undirected
Patrick Stewart,James McAvoy,Undirected
Muhammet Uzuner,Ahmet Mümtaz Taylan,Undirected
Jean Dujardin,James Cromwell,Undirected
Tom Cruise,Brendan Gleeson,Undirected
Jean-Louis Trintignant,Alexandre Tharaud,Undirected
Robert De Niro,Harvey Keitel,Undirected
Tahar Rahim,Reda Kateb,Undirected
Sam Rockwell,Rosie Shaw,Undirected
Kåre Hedebrant,Henrik Dahl,Undirected
Sharlto Copley,Nathalie Boltt,Undirected
Mickey Rourke,Mark Margolis,Undirected
Shahid Kapoor,Dara Singh,Undirected
Ellar Coltrane,Elijah Smith,Undirected
Anamaria Marinca,Alexandru Potocean,Undirected
Chris Pine,Leonard Nimoy,Undirected
Colin Farrell,Elizabeth Berrington,Undirected
David Lee Smith,Ellen Crawford,Undirected
Ken Watanabe,Ryô Kase,Undirected
Lee Pace,Kim Uylenbroek,Undirected
Suraj Sharma,Tabu,Undirected
George Clooney,Jason Schwartzman,Undirected
Michel Côté,Émile Vallée,Undirected
Gérard Jugnot,Kad Merad,Undirected
Robert Downey Jr.,Jeff Bridges,Undirected
Simon Pegg,Lucy Davis,Undirected
Birol Ünel,Zarah Jane McKenzie,Undirected
Sean Penn,Emmy Rossum,Undirected
Daniel Radcliffe,Richard Griffiths,Undirected
Jet Li,Ziyi Zhang,Undirected
Rosario Flores,Leonor Watling,Undirected
Branko Djuric,Georges Siatidis,Undirected
Tensai Okamura,Beau Billingslea,Undirected
Franka Potente,Clive Owen,Undirected
Ricardo Darín,María Mercedes Villagra,Undirected
Julianne Moore,Michael Caine,Undirected
Billy Crudup,Frances McDormand,Undirected
Naomi Watts,Jeanne Bates,Undirected
Ash Brannon,Tim Allen,Undirected
Mark Wahlberg,Luis Guzmán,Undirected
Yoko Honna,Shigeru Muroi,Undirected
Rena Owen,Julian Arahanga,Undirected
Christian Slater,Val Kilmer,Undirected
Juliette Binoche,Benoît Régent,Undirected
Kôichi Yamadera,Osamu Saka,Undirected
Al Pacino,John Leguizamo,Undirected
Johnny Depp,Anthony Michael Hall,Undirected
Daniel Day-Lewis,Kirsten Sheridan,Undirected
Martin Landau,Claire Bloom,Undirected
Kevin Costner,Charles Martin Smith,Undirected
Mia Farrow,Barbara Hershey,Undirected
Jonathan Pryce,Katherine Helmond,Undirected
Rob Reiner,Kimberly Stringer,Undirected
Peter Billingsley,Scott Schwartz,Undirected
John Belushi,John Candy,Undirected
Woody Allen,Michael Murphy,Undirected
Roy Scheider,Leland Palmer,Undirected
David Emge,Gaylen Ross,Undirected
Dustin Hoffman,Martin Balsam,Undirected
Alejandro Jodorowsky,Juan Ferrara,Undirected
Magali Noël,Armando Brancia,Undirected
Fernando Rey,Bulle Ogier,Undirected
Klaus Kinski,Del Negro,Undirected
Ruth Gordon,Cyril Cusack,Undirected
George C. Scott,Michael Strong,Undirected
William Holden,Edmond O'Brien,Undirected
Duane Jones,Marilyn Eastman,Undirected
Peter O'Toole,John Castle,Undirected
Sidney Poitier,Lee Grant,Undirected
Cary Grant,James Coburn,Undirected
Frank Sinatra,Angela Lansbury,Undirected
Kirk Douglas,Charles Laughton,Undirected
Gabriele Ferzetti,Dominique Blanchar,Undirected
Emmanuelle Riva,Pierre Barbaud,Undirected
Charlton Heston,Edward G. Robinson,Undirected
John Wayne,Ward Bond,Undirected
James Dean,Burl Ives,Undirected
Gary Cooper,Lloyd Bridges,Undirected
Farley Granger,Leo G. Carroll,Undirected
